Table 1
Timestamp,First and Last Name,City,State,Submitted by:,Comments:,,Sheet,Hyperlink,Province,Country,Submitted By:,Submitted by,Comments
,Michael Ritondo,Lebanon,New Hampshire,Patient submitted,,,United States,https://www.dartmouth-hitchcock.org/findaprovider/provider/2864/Michael-E-Ritondo,,,,,
,Suzanne Shipman,Lebanon,New Hampshire,Patient submitted,,,United States,https://www.dartmouth-hitchcock.org/findaprovider/provider/2525/Suzanne-D-Shipman,,,,,
,Kelsey G. Kredentser,Lebanon,New Hampshire,,,,United States,https://providers.dartmouth-health.org/2088/kelsey-g-kredentser,,,,,
,Babs Levenstein,Londonderry,New Hampshire,Patient submitted,,,United States,,,,,,
,Brenna Stapp,Manchester,New Hampshire,Patient submitted,,,United States,https://www.manchesterob.com/staff,,,,,
,Jenny Backman,Manchester,New Hampshire,Patient submitted,,,United States,https://www.manchesterob.com/staff,,,,,
,Jillian Dulac,Manchester,New Hampshire,Patient submitted,,,United States,https://www.manchesterob.com/staff,,,,,
,Melissa Martínez-Adorno,Nashua,New Hampshire,,,,United States,https://www.snhhealth.org/find-a-doctor/melissa-martinez-adorno,,,,,
YYYY-15-DD 21:15:SS,Lydia Garcia ,Nashua ,New Hampshire,,,,United States,,,,,,
,Lauren Frye,North Conway,New Hampshire,Patient submitted,,,United States,https://www.mainehealth.org/providers/lauren-r-frye-do,,,,,
,Jennifer A. Labudde,North Conway,New Hampshire,Patient submitted,,,United States,https://www.mainehealth.org/providers/jennifer-labudde-md,,,,,
,Morgan Jenkins,Peterborough,New Hampshire,Patient submitted ,,,United States,https://monadnockcommunityhospital.com/staff/morgan-jenkins-md/,,,,,
,Morgan Jenkins,Peterborough ,New Hampshire,,,,United States,https://monadnockobgyn.squarespace.com/morgan-jenkins,,,,,
,David R. Levene,Peterborough ,New Hampshire,Patient submitted,,,United States,https://www.everydayhealth.care/providers/1068732/dr-david-r-levene-md/,,,,,
,Melissa McGann,Portsmouth,New Hampshire,Patient submitted,,,United States,https://www.wdhospital.org/wdh/providers/melissa-a-mcgann-do,,,,,
YYYY-13-DD 09:13:SS,Saroj Fleming ,Portsmouth ,New Hampshire,,,,United States,,,,,,
,Caroline Scoones,Portsmouth & Rochester,New Hampshire,Patient submitted ,,,United States,https://www.harbourwomenshealth.com/providers/caroline-scoones,,,,,
,Heidi Keup ,Portsmouth & Rochester,New Hampshire,Patient submitted,,,United States,https://www.harbourwomenshealth.com/providers/heidi-keup,,,,,
,Whitney E. Kelly,Cherry Hill,New Jersey,,,,United States,https://doctors.virtua.org/provider/whitney-e-kelly/2618654,,,,,
,Andrew Blechman,Freehold,New Jersey,Patient submitted,,,United States,https://doctors.hackensackmeridianhealth.org/provider/Andrew+Blechman/1318454,,,,,
,Ben J. Mapa,Freehold ,New Jersey,,,,United States,https://findadoctor.atlantichealth.org/provider/Benoit+Mapa/2416559?name=Benoit%20Mapa&sort=networks%2Crelevance&from=search-list,,,,,
,Cary Mantell,Hamilton,New Jersey,Patient submitted ,,,United States,https://www.rwjbh.org/doctors/cary-mantell-do/,,,,,
,Nancy M. Vaughns,Holmdel,New Jersey,,,,United States,https://www.wmcnewjersey.com/provider/nancy-m-vaughns-do-facog,,,,,
,Dierdre Masterton,Lebanon,New Jersey,Patient submitted,,,United States,https://www.advancedforwomen.com/provider/deirdre-c-masterton-md,,,,,
,Amanda Malik,Marlton,New Jersey,,,,United States,https://www.cooperhealth.org/doctors/amanda-malik-md,,,,,
,Lily Bayat,New Brunswick,New Jersey,Patient submitted,,,United States,https://www.rwjbh.org/doctors/lily-bayat-md-mph/,,,,,
,Lauren Naliboff,Newark,New Jersey,Patient submitted,,,United States,https://njms-web.njms.rutgers.edu/profile/myProfile.php?mbmid=lcn25,,,,,
,Natalia Miranda,Pennington,New Jersey,,,,United States,https://www.capitalhealth.org/find-doctor/miranda-natalia-c,,,,,
,Shyama S. Matthews,Princeton,New Jersey,Patient submitted ,speaks Spanish ,,United States,https://www.pennmedicine.org/providers/profile/shyama-mathews?utm_medium=referral&utm_campaign=penn-medicine&utm_term=shyama-mathews&y_source=1_MzgzODU0MDYtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,,,,,
,Kathleen Schaeffer ,Sewell,New Jersey,Patient submitted,,,United States,https://www.cooperhealth.org/doctors/kathleen-schaeffer-do,,,,,
,Anandhi Nadarajah,Sparta,New Jersey,Patient submitted ,,,United States,,,,,,
,Caroline Goodchild,Voorhees,New Jersey,Patient submitted ,,,United States,https://axiawh.com/providers/goodchild-caroline/,,,,,
,Kaitlyn Ferrill ,Voorhees ,New Jersey,,,,United States,https://www.advocareobgynspecialists.com/provider/Kaitlyn-Ferrill-MD,,,,,
,"Lauren A. Jenkins, MD",Woodbury Heights  ,New Jersey,,,,United States,,,,,,
,Alana Williams,Albuquerque,New Mexico,Patient submitted ,,,United States,,,,,,
YYYY-05-DD 16:05:SS,Amber Truehart,Albuquerque,New Mexico,,,,United States,,,,,,
,Carrie Swartz,Albuquerque,New Mexico,,,,United States,https://www.bosquewomenscare.com/,,,,,
,Jessie Simmon,Albuquerque,New Mexico,,,,United States,https://lovelace.com/doctors/jessie-simmon-md,,,,,
,Kelly Drescher,Albuquerque,New Mexico,,,,United States,https://pmgdirectory.phs.org/details/10/kelly-drescher-obstetrics_and_gynecology_womens_care-albuquerque,,,,,
,Kara Gwin,Albuquerque,New Mexico,,,,United States,https://www.md.com/doctor/kara-gwin-md,,,,,
,Shahrzad Tabibi,Las Cruces,New Mexico,,,,United States,https://www.sharecare.com/doctor/dr-shahrzad-tabibi,,,,,
,Dara Som,Las Cruces,New Mexico,Patient submitted ,,,United States,https://laclinicadefamilia.org/lcdf/ob-gyn-providers/,,,,,
,Stephanie Peace ,Las Cruces ,New Mexico,Patient submitted,,,United States,https://laclinicadefamilia.org/lcdf/ob-gyn-providers/,,,,,
,Edison Etsitty,Rio Rancho,New Mexico,Patient submitted ,,,United States,https://www2.phs.org/providers/e-virgil-etsitty-1376521500_qk0d0kl0d_52a56eef4dc0ca389670d5d9c54e5812,,,,,
,Jane McMillan,Roswell,New Mexico,,,,United States,https://www.easternnewmexicomedicalgroup.com/doctors-providers/mcmillan-jane-md-7092,,,,,
,Michael Shultz,Sante Fe,New Mexico,Patient submitted,,,United States,https://www.christushealth.org/find-a-doctor/michael-schultz-63716,,,,,
YYYY-43-DD 22:43:SS,Kathryn Storck,Shiprock,New Mexico,,,,United States,,,,,,
,Cassandra Denefrio,Albany,New York,,,,United States,https://www.amc.edu/PhysicianDirectory/index.cfm?event=showPhysicianDetail&PRACT_ID=19731,,,,,
,Corinne McLeod,Albany,New York,,,,United States,https://www.amc.edu/PhysicianDirectory/index.cfm?event=showPhysicianDetail&PRACT_ID=22426,,,,,
,Johanna Bringley,Albany,New York,,,,United States,https://www.amc.edu/PhysicianDirectory/index.cfm?event=showPhysicianDetail&PRACT_ID=18515,,,,,
,Kathryne Kostamo,Albany,New York,,,,United States,https://www.amc.edu/PhysicianDirectory/index.cfm?event=showPhysicianDetail&PRACT_ID=104512,,,,,
,Rachel Flink-Bochacki,Albany,New York,,,,United States,https://www.amc.edu/PhysicianDirectory/index.cfm?event=showPhysicianDetail&PRACT_ID=23990,,,,,
,Johanna Bringley ,Albany,New York,,,,United States,https://www.albanymed.org/physician/johanna-bringley/,,,,,
,Cassandra Denefrio,Albany,New York,,,,United States,https://www.albanymed.org/physician/cassandra-denefrio/,,,,,
,Rachel Flink-Bochacki,Albany,New York,,,,United States,https://www.albanymed.org/physician/rachel-flink-bochacki/,,,,,
,Kathryne Kostamo,Albany,New York,,,,United States,https://www.albanymed.org/physician/kathryne-kostamo/,,,,,
,Corinne McLeod,Albany,New York,,,,United States,https://www.albanymed.org/physician/corinne-mcleod/,,,,,
,Gary Kasten,Bay Shore,New York,Patient submitted ,,,United States,,,,,,
,Melinda Rupp ,Binghamtom & Johnson City,New York,Patient submitted ,,,United States,https://www.women2womenobg.com/meet-melinda-rupp-md,,,,,
,Sanika Gadkari,Brooklyn,New York,,,,United States,https://maidenlanemedical.com/profile/sanika-gadkari-md/,,,,,
,Allix Hillebrand,Brooklyn,New York,,Accepts Medicaid,,United States,https://maimo.org/find-a-doctor/allix-hillebrand/,,,,,
,Mary Kate Frauenheim,Buffalo,New York,,,,United States,https://www.gppconline.com/mary-kate-frauenheim-md,,,,,
,Taylor Johnson,Buffalo,New York,,,,United States,https://www.gppconline.com/taylor-johnson-md,,,,,
,Jennie Dembski,Buffalo,New York,,,,United States,https://www.gppconline.com/jennie-dembski-md,,,,,
,Brittanny Keeler,Buffalo,New York,,,,United States,https://www.gppconline.com/brittanny-keeler-do-ncmp,,,,,
,Kaitlyn Brekovsky,Buffalo,New York,,,,United States,https://www.gppconline.com/kaitlyn-brekovsky-md,,,,,
,Alexis Platek,Buffalo,New York,,,,United States,https://www.gppconline.com/alexis-platek-md,,,,,
,Virginia Bond,Buffalo,New York,,,,United States,https://www.gppconline.com/virginia-bond-md,,,,,
YYYY-13-DD 02:13:SS,Ashley Conway ,Buffalo ,New York,,,,United States,https://trinitymedicalwny.org/provider/ashley-e-conway/,,,,,
,Catherine Cantwell,Canandaigua,New York,Patient submitted ,,,United States,,,,,,
,Alexis Pilato,Canandaigua,New York,Patient submitted,,,United States,https://www.urmc.rochester.edu/people/112362131-alexis-pilato,,,,,
,Sarah Bellioti,Clarence,New York,Patient submitted ,,,United States,,,,,,
,James A. Scott,Corning,New York,Patient submitted,,,United States,https://health.usnews.com/doctors/james-scott-713848,,,,,
,Sophia Halassy,Corning,New York,Patient submitted,,,United States,https://www.guthrie.org/provider/sophia-halassy-md?utm_source=bing&utm_medium=listing&utm_campaign=yext,,,,,
,Elizabeth Gordon,Corning,New York,Patient submitted,,,United States,https://www.guthrie.org/provider/elizabeth-gordon-do,,,,,
,Leah Kaufman ,East Setauket,New York,,,,United States,https://doctors.stonybrookmedicine.edu/provider/Leah+Kaufman/2385806,,,,,
,Claudia Ravins,Forest Hills,New York,Patient submitted,,,United States,https://www.raveco.com/provider/claudia-ravins-md,,,,,
,Francis Finneran,Geneva,New York,,,,United States,https://www.thompsonhealth.com/Health-Services/Primary-Care/Canandaigua-Medical-Group/Obstetrics-and-Gynecology/Francis-V-Finneran-MD,,,,,
YYYY-58-DD 18:58:SS,Elizabeth McAndrew,Glens Falls,New York,,,,United States,,,,,,
,Jonas G. Wilson-Leedy,Hudson,New York,Patient submitted,,,United States,https://www.columbiamemorialhealth.org/doctors/jonas-g-wilson-leedy-md/,,,,,
,Edward Marici ,Hudson,New York,Patient submitted,,,United States,https://www.columbiamemorialhealth.org/doctors/edward-marici-do/,,,,,
YYYY-32-DD 09:32:SS,Leah Stork-Binyamin,Islandia,New York,,,,United States,,,,,,
,Robert Daniels,Jamestown,New York,Patient submitted,,,United States,https://lanewomenshealth.com/staff-profiles,,,,,
,Dhruv Agneshwar,Johnson City,New York,Patient submitted,,,United States,https://www.nyuhs.org/choose-a-provider/dhruv-agneshwar-md,,,,,
,Krystal Thompson,Johnson City,New York,Patient submitted,,,United States,https://www.nyuhs.org/choose-a-provider/krystal-thompson-md,,,,,
,Bruce Clark,Latham,New York,Patient submitted ,,,United States,,,,,,
,Danielle Rooney,Latham,New York,Patient submitted,,,United States,https://www.communitycare.com/Physicians/Profile?ProviderID=900,,,,,
,Amy Lasky,"Long Island (Bohemia, East Setauket)",New York,,,,United States,https://www.stonybrookmedicine.edu/profile?pid=2745&npi=1689069064&name=Amy%20Peebles%20MD,,,,,
,Joseph Bacchi,"Long Island (Bohemia, East Setauket)",New York,,,,United States,"https://www.stonybrookmedicine.edu/profile?pid=2910&npi=1801242342&name=Joseph%20Bacchi%20MD,%20MBA",,,,,
,Joseph Chappelle,"Long Island (Bohemia, East Setauket)",New York,,,,United States,https://www.stonybrookmedicine.edu/profile?pid=14&npi=1346412855&name=Joseph%20Chappelle%20MD,,,,,
,Fatima Daoud Yilmaz,"Long Island (Commack, Bohemia) ",New York,,,,United States,https://www.stonybrookmedicine.edu/profile?pid=3089&npi=1407387756&name=Fatima%20Daoud%20Yilmaz%20MD,,,,,
,Melissa Nicosia Kurian,Long Island (Port Jefferson),New York,,,,United States,https://doctors.matherhospital.org/details/1651/melissa-nicosia-gynecology-minimally_invasive_gynecologic_surgery-obstetrics__gynecology-robotic_surgery-bay_shore-port_jefferson,,,,,
,Casey Jarvis,Manhasset,New York,,LGBTQ+ friendly,,United States,https://www.northwell.edu/find-care/find-a-doctor/obstetrics-and-gynecology/dr-casey-alexandra-jarvis-md-11516533,,,,,
,Helen Greco,Manhasset,New York,Patient submitted,,,United States,https://www.northwell.edu/find-care/find-a-doctor/dr-helen-greco-md-11309338,,,,,
,Rachel Roesner,Manhattan ,New York,,Trans/LGBTQ+ friendly ,,United States,https://www.asterobgyn.com/provider/rachel-roesner-do-facog,,,,,
YYYY-34-DD 14:34:SS,Sara Valentino-Smith,Mineola/Syosset,New York,,,,United States,,,,,,
,Sarah Reynolds ,New Hyde Park,New York,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://lgbtqhealthcaredirectory.org/provider/sarah-reynolds,,,,,
,Jin Hee (Jeannie) Hee J Kim,New York,New York,Patient submitted ,,,United States,https://www.obgyn.columbia.edu/profile/jin-hee-jeannie-h-kim-md,,,,,
,Janette Davison,New York,New York,Patient submitted,,,United States,https://maidenlanemedical.com/profile/janette-davison-md/,,,,,
,Alexandra Fleary ,New York,New York,Patient submitted,,,United States,https://maidenlanemedical.com/profile/alexandra-fleary-md/,,,,,
,Christopher N. Eswar,New York,New York,Patient submitted,,,United States,https://nyulangone.org/doctors/1598907008/christopher-n-eswar?cid=syn_yext&y_entity_id=1598907008-primary&y_source=1_MTYyOTA4MjAtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,,,,,
,Sanika Gadkari,New York,New York,,,,United States,https://maidenlanemedical.com/profile/sanika-gadkari-md/,,,,,
,Annie Kim,New York,New York,Patient submitted,,,United States,https://nycgyne.com/team/dr-annie-kim-md/,,,,,
,Smita Carroll,New York,New York,,,,United States,https://www.northwell.edu/find-care/find-a-doctor/dr-smita-carroll-md-mba-mph-11519830,,,,,
,Pavan K. Ananth,New York,New York,,,,United States,https://www.nychealthandhospitals.org/doctors/ananth-pavan-kumar/,,,,,
,Aaron Gila,NYC,New York,Patient submitted ,,,United States,,,,,,
,Alyssa Erb,NYC,New York,Patient submitted,,,United States,https://nycgyne.com/team/alyssa-erb-d-o/,,,,,
,Felix Cohen,NYC,New York,Patient submitted,,,United States,https://nycgyne.com/team/felix-cohen-m-d-facog/,,,,,
,Heather Irobunda,NYC,New York,,,,United States,https://www.nychealthandhospitals.org/doctors/irobunda-heather/,,,,,
,Julia Jaffe,NYC,New York,,,,United States,https://www.gramercygynecology.com/julia-jaffe-gynecologist-new-york.html,,,,,
,Kaitlin Hanmer,Olean,New York,Patient submitted ,,,United States,https://upchealth.net/upc/team/,,,,,
,Taylor Johnson,Orchard Park,New York,Patient submitted,,,United States,https://www.ogawny.com/2021/09/09/welcome-dr-johnson/,,,,,
,Gil Farkash ,Orchard Park,New York,Patient submitted,,,United States,https://www.gppconline.com/gil-farkash-md,,,,,
,Raj K Mahajan,Oswego,New York,,,,United States,,,,,,
,Chris Raju,Patchogue,New York,,,,United States,https://squarecarehealth.com/providers/chris-raju-md/,,,,,
,Jeffrey Dodge,Plattsburgh,New York,,,,United States,https://www.cvph.org/Provider/Detail/44,,,,,
,Jeffrey A. Dodge ,Plattsburgh ,New York,Patient submitted,,,United States,https://www.cvph.org/Provider/Detail/44,,,,,
,Christine M. Herde**,Poughkeepsie ,New York,Patient submitted ,,,United States,https://findcare.nuvancehealth.org/provider/Christine+M.+Herde/1746735,,,,,
,Christine Beer ,Rhinebeck ,New York,Patient submitted,,,United States,https://east.optum.com/providers/christine-beer/,,,,,
,Amanda Victory,Rochester,New York,Patient submitted,,,United States,https://www.urmc.rochester.edu/people/27087114-amanda-j-victory,,,,,
YYYY-51-DD 12:51:SS,Franziska Haydanek,Rochester,New York,,,,United States,https://www.rochesterregional.org/physician-directory/h/haydanek-franziska,,,,,
,Marit B. Sheffield,Rochester,New York,Patient submitted,,,United States,https://pwwh.com/providers/dr-sheffield/,,,,,
,Miranda Harris-Glocker,Rochester,New York,,,,United States,https://www.wgcaobgyn.com/providers/miranda-harris-md-facog/,,,,,
,Olivia Higgins,Rochester,New York,,,,United States,https://www.rochesterregional.org/physician-directory/h/higgins-olivia,,,,,
,Tamar Hunse,Rochester,New York,,,,United States,https://www.greeceobgyn.com/team/dr-tamar-hunse/,,,,,
,Stephanie Bousquet,Rochester,New York,,,,United States,https://www.rochesterregional.org/physician-directory/b/bousquet-stephanie,,,,,
,Stacy Sun,Rochester,New York,Patient submitted,,,United States,https://www.urmc.rochester.edu/people/112362471-stacy-sun,,,,,
,Derek J. Tenhoopen,Rochester,New York,Patient submitted,,,United States,https://www.urmc.rochester.edu/people/112358646-derek-jon-tenhoopen,,,,,
,Afreen Tariq-Fazili,Rochester,New York,,,,United States,https://www.greeceobgyn.com/team/dr-afreen-tariq-fazili/,,,,,
,Maureen R. Slattery,Rochester,New York,,,,United States,https://www.rochesterregional.org/providers/maureen-r-slattery,,,,,
,Megan K. Burns,Rochester ,New York,Patient submitted ,LGBTQ+ friendly ,,United States,https://www.urmc.rochester.edu/people/112362901-megan-k-burns,,,,,
,Jordana L. Gilman,Rochester ,New York,,,,United States,https://www.urmc.rochester.edu/people/112363694-jordana-l-gilman,,,,,
,Stefanie Allison,Saratoga,New York,Patient submitted,LGBTQ+ friendly ,,United States,https://communitycare.com/doctors/stefanie-allison/,,,,,
,Catelyn Halusic-Smith,Saratoga Springs,New York,,,,United States,https://www.saratogaobgyn.org/our-staff,,,,,
,Susan Verleger,Saratoga Springs,New York,,,,United States,https://www.saratogaobgyn.org/our-staff,,,,,
,Christopher Bloss,Schenectady,New York,Patient submitted,,,United States,https://www.communitycare.com/Physicians/Profile?ProviderID=651,,,,,
,Lisa Beth Spiryda,Sleepy Hollow,New York,Patient submitted ,,,United States,https://www.northwell.edu/find-care/find-a-doctor/obstetrics-and-gynecology/dr-lisa-beth-spiryda-md-phd-11381859,,,,,
YYYY-17-DD 06:17:SS,Chantell Dalpe,Syracuse,New York,,,,United States,https://www.thewomenswellnessplace.com/meet-the-staff,,,,,
,Miriam Bernstein,Syracuse,New York,,,,United States,https://www.upstate.edu/healthcare/providers/doctor.php?docID=bernstem,,,,,
,Birx F. Nolan ,Syracuse ,New York,,,,United States,https://www.sjhsyr.org/provider/birx-frances-nolan-md-obstetrics-gynecology,,,,,
,Miriam Bernstein ,Syracuse ,New York,,,,United States,https://www.upstate.edu/healthcare/providers/doctor.php?docID=bernstem,,,,,
,Gustavo San Roman,Terryville,New York,Patient submitted ,,,United States,https://www.chsli.org/doctors/gustavo-san-roman-md,,,,,
,Thomas Cacciola,Troy,New York,,,,United States,https://www.communitycare.com/Practices/CapitalRegionWomensCare/Physician-Profile?ProviderID=1160,,,,,
,Christopher Bloss,Troy,New York,Patient submitted,,,United States,https://communitycare.com/doctors/christopher-bloss/,,,,,
,Lora Papandrea,Utica,New York,Patient submitted,,,United States,https://www.mvhealthsystem.org/provider/lora-l-papandrea-md/,,,,,
,Amy Collins,Vestal,New York,Patient submitted,,,United States,https://www.nyuhs.org/choose-a-provider/amy-collins-md,,,,,
,Liz McAndrew,Warrensburg,New York,,,,United States,https://www.hhhn.org/services/womens-health/,,,,,
,Nanci L. Hawkins,Watertown,New York,Patient submitted,,,United States,https://samaritanhealth.com/staff/nancy-l-hawkins-md/,,,,,
,Anna Haring,Wellsville,New York,,,,United States,https://www.urmc.rochester.edu/jones-memorial-hospital/our-team/anna-haring-md-1.aspx,,,,,
,Heather Lanphere,Wellsville,New York,,,,United States,https://www.urmc.rochester.edu/jones-memorial-hospital/our-team/lanphere.aspx,,,,,
YYYY-18-DD 12:18:SS,Michelle Giannone,White Plains ,New York,,,,United States,,,,,,
,Alexander Eswar,Williamsville,New York,Patient submitted,,,United States,https://invisionhealth.com/alexander-eswar-md/,,,,,
,Dilara Samadi,Buffalo,New York ,Patient submitted ,,,United States,https://buffalomedicalgroup.com/staff/dilara-samadi-m-d/,,,,,
,Catelyn Halusic-Smith,Saratoga Springs,New York ,,Speaks Spanish ,,United States,https://www.saratogahospital.org/doctor/halusic-smith-catelyn-do,,,,,
,Chris Richardson,Asheboro,North Carolina,Patient submitted,,,United States,https://www.wakehealth.edu/providers/r/cris-richardson,,,,,
,Angela Mannino,Asheboro,North Carolina,,,,United States,https://www.wakehealth.edu/providers/m/angela-mannino,,,,,
,Elizabeth Buys,Asheville,North Carolina,Patient submitted,,,United States,https://missionhealth.org/provider-finder/profile/70049,,,,,
,Lindsay Veazey,Asheville,North Carolina,Patient submitted,,,United States,https://laurelobgyn.com/dr-lindsay-veazey/,,,,,
,Sarah Jones,Asheville,North Carolina,Patient submitted,,,United States,https://www.ashevillewomens.com/our-providers/jones/,,,,,
,Stacey Olney,Asheville,North Carolina,,,,United States,https://www.uwhcarolinas.com/provider/stacey-olney/,,,,,
,Courtney Cohen,Asheville ,North Carolina,,,,United States,https://www.uwhcarolinas.com/provider/courtney-cohen/,,,,,
,Lindsay Veazey,Asheville ,North Carolina,,,,United States,https://www.uwhcarolinas.com/provider/lindsay-veazey/,,,,,
,Bethany E. Beasley ,Burlington,North Carolina,,,,United States,https://www.dukehealth.org/find-doctors-physicians/bethany-e-beasley-md-mph,,,,,
YYYY-53-DD 13:53:SS,Bethany Beasley,Burlington ,North Carolina,,,,United States,,,,,,
,Emily Herfel,Cary,North Carolina,Patient submitted,,,United States,https://www.dukehealth.org/find-doctors-physicians/emily-herfel-do-msc-gh-facoog?utm_source=bing&utm_medium=local&utm_campaign=evergreen,,,,,
,Subhratha Maredia,Cary,North Carolina,,,,United States,https://tp4w.com/dr-subhratha-maredia,,,,,
,Casey Cooper,Cary,North Carolina,,LGBTQ+ friendly,,United States,https://tp4w.com/dr-casey-cooper,,,,,
YYYY-35-DD 11:35:SS,Robin Piper,Cary,North Carolina,,,,United States,https://www.caryobgyn.com/provider/robin-piper-do/,,,,,
,Carolyn Miller,Chapel Hill,North Carolina,,,,United States,https://chapelhillobgyn.com/carolyn-miller-md/,,,,,
,Kavita Shah Arora,Chapel Hill,North Carolina,,,,United States,,,,,,
,Sonya Williams ,Chapel Hill,North Carolina,,,,United States,https://chapelhillobgyn.com/sonya-williams/,,,,,
,Joshua Hardison,Chapel Hill,North Carolina,,,,United States,https://chapelhillobgyn.com/joshua-hardison/,,,,,
,Michael D. Evers,Chapel Hill,North Carolina,,,,United States,https://www.unchealth.org/care-services/doctors/e/michael-d-evers-md,,,,,
,Erin Carey,Chapel Hill,North Carolina,Patient submitted,,,United States,https://www.med.unc.edu/obgyn/people/erin-carey/,,,,,
,Emily Hutcheson,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/emily-hutcheson-1639589187,,,,,
,Jada Fambrough,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/jada-fambrough-1659803930,,,,,
,Jennifer Kalich,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/jennifer-kalich-1619907599,,,,,
,Jerry Matkins,Charlotte,North Carolina,Patient submitted,,,United States,https://atriumhealth.org/provider-profile/jerry-matkins-1588698724,,,,,
,Sarah Pena,Charlotte,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1750812434/savannah-pena/about-me,,,,,
YYYY-53-DD 13:53:SS,Sarah Pollock,Charlotte,North Carolina,,,,United States,,,,,,
,Stephanie Welsh ,Charlotte,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1952861098,,,,,
,Joshua Counihan ,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/joshua-counihan-1639461296?utm_campaign=GCRprovider&utm_medium=Organic&utm_source=GMB&address_id=2611,,,,,
,Lisa K. Wilson ,Charlotte,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1902980196,,,,,
,Olivia Hostetter Callese,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/olivia-callese-1518498872?address_id=46682,,,,,
,Kendall Parrott,Charlotte,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1427685668/kendall-parrott/,,,,,
,Adrienne Wiggins-Metcalf,Charlotte,North Carolina,,Accepts Medicaid,,United States,https://www.novanthealth.org/pf/providers/1184144321/adrienne-wiggins-metcalf,,,,,
,Anna C. Raines,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/anna-raines-1386271898?address_id=47346&search_url=https%3A%2F%2Fatriumhealth.org%2Flocations%2Fatrium-health-womens-care-eastover-obgyn%2Fmeet-the-team%3Fpage%3D2%235-Physician-16920&pnr%5B***-***-****%5D=Invalid,,,,,
,Myers Park OB/GYN,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/locations/detail/atrium-health-myers-park-obgyn,,,,,
,Laura K. Pekman ,Charlotte,North Carolina,Patient submitted,,,United States,https://atriumhealth.org/provider-profile/laura-pekman-1083033161?address_id=4708,,,,,
,Colleen Cardella,Charlotte,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1528385218/colleen-cardella,,,,,
,Rachel Jie Tang,Charlotte,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/rachel-tang-1386273191?utm_campaign=GCRprovider&utm_medium=Organic&utm_source=GMB&address_id=47332,,,,,
,Brooke A. Spangler,Charlotte,North Carolina,Patient submitted,,,United States,https://atriumhealth.org/provider-profile/brooke-spangler-1750910410?search_uuid=ab20f770-7f0c-4c0a-abde-519ad6bbacfa,,,,,
,Nicholas J. Masciello,Charlotte,North Carolina,Patient submitted,,,United States,https://atriumhealth.org/provider-profile/nicholas-masciello-1770046344?search_uuid=ab20f770-7f0c-4c0a-abde-519ad6bbacfa,,,,,
,Courtney Moynihan,Charlotte,North Carolina,Patient submitted,,,United States,https://atriumhealth.org/provider-profile/courtney-moynihan-1801233390,,,,,
,Ashley Fento,Charlotte ,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1093125619/ashley-fento/about-me,,,,,
,Daphne Capek,Charlotte ,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/daphne-capek-1306223425,,,,,
,Katherine Menezes,Charlotte ,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1811428154/katherine-menezes/about-me,,,,,
,Kristi Balavage,Charlotte ,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1104320563/kristi-balavage/about-me,,,,,
YYYY-01-DD 19:01:SS,Mala Freeman-Kwaku ,Charlotte ,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1972582286/mala-freeman-kwaku/about-me,,,,,
,Smitha Vilasagar,Charlotte ,North Carolina,Patient submitted,,,United States,https://drvilasagar.com/,,,,,
,Ginger A. Dickerson ,Charlotte ,North Carolina,Patient submitted ,,,United States,https://atriumhealth.org/provider-profile/ginger-dickerson-1558385062/,,,,,
,Ingrid Bullard,Charlotte ,North Carolina,Patient submitted,,,United States,https://www.novanthealth.org/pf/providers/1457334815/ingrid-bullard,,,,,
,Sarah A. Pollock ,Charlotte ,North Carolina,,,,United States,https://atriumhealth.org/provider-profile/sarah-pollock-1912311762?search_uuid=ab20f770-7f0c-4c0a-abde-519ad6bbacfa&address_id=4710,,,,,
,Jennie Jarvis Hauschka ,Charlotte ,North Carolina,Patient submitted ,,,United States,https://www.tryonmed.com/doctor/jennie-jarvis-hauschka-md-facog/,,,,,
,Kaylee VanDommelen ,Charlotte & Matthews ,North Carolina,,,,United States,https://www.novanthealth.org/pf/providers/1063972180/kaylee-vandommelen,,,,,
